@W:"D:\FPGA\a3p1000_spi\component\Actel\DirectCore\CORESPI\5.2.104\rtl\vlog\core\spi_chanctrl.v":805:7:805:17|Net resetn_rx_s is not declared.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":273:11:273:25|Removing instance DFN1C0_RGRY[1] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":265:8:265:12|Removing instance AO1_0 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":261:11:261:25|Removing instance DFN1C0_WGRY[1] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":257:11:257:25|Removing instance DFN1C0_RGRY[4] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":249:9:249:14|Removing instance XOR2_4 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":246:9:246:14|Removing instance XOR2_6 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":231:9:231:14|Removing instance XOR2_5 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":230:9:230:15|Removing instance XOR2_17 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":229:9:229:15|Removing instance AND2_19 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":227:9:227:15|Removing instance XOR2_13 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":225:11:225:25|Removing instance DFN1C0_WGRY[4] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":223:11:223:25|Removing instance DFN1C0_RGRY[3] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":216:9:216:15|Removing instance AND2_18 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":197:11:197:25|Removing instance DFN1C0_WGRY[3] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":191:11:191:25|Removing instance DFN1C0_RGRY[2] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":171:11:171:22|Removing instance DFN1C0_DVLDX because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":167:9:167:15|Removing instance XOR2_21 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":162:9:162:14|Removing instance XOR2_3 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":156:9:156:15|Removing instance XOR2_12 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":152:11:152:25|Removing instance DFN1C0_WGRY[2] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":139:11:139:25|Removing instance DFN1C0_RGRY[0] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":138:9:138:15|Removing instance XOR2_27 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":137:9:137:14|Removing instance AND2_7 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":134:9:134:15|Removing instance AND2_17 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":131:9:131:14|Removing instance AND2_1 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":130:9:130:14|Removing instance AND2_4 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":125:9:125:14|Removing instance AND2_5 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":119:9:119:14|Removing instance AND2_2 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":118:8:118:12|Removing instance AO1_5 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":109:11:109:25|Removing instance DFN1C0_WGRY[0] because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":100:9:100:15|Removing instance AND2_16 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":77:9:77:15|Removing instance XOR2_19 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":75:9:75:15|Removing instance XOR2_22 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":73:9:73:15|Removing instance XOR2_15 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":71:9:71:14|Removing instance XOR2_1 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":63:9:63:15|Removing instance AND2_12 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"D:\FPGA\a3p1000_spi\smartgen\UART_fifo\UART_fifo.v":59:9:59:14|Removing instance XOR2_9 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL190 :"D:\FPGA\a3p1000_spi\hdl\UART_AD7606.v":106:0:106:5|Optimizing register bit AD_data_count[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"D:\FPGA\a3p1000_spi\hdl\UART_AD7606.v":150:0:150:5|Optimizing register bit data_count[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"D:\FPGA\a3p1000_spi\hdl\UART_AD7606.v":150:0:150:5|Pruning register bit 4 of data_count[4:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"D:\FPGA\a3p1000_spi\hdl\UART_AD7606.v":106:0:106:5|Pruning register bit 4 of AD_data_count[4:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"D:\FPGA\a3p1000_spi\hdl\UART_AD7606.v":150:0:150:5|Optimizing register bit data_count[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"D:\FPGA\a3p1000_spi\hdl\UART_AD7606.v":150:0:150:5|Pruning register bit 3 of data_count[3:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"D:\FPGA\a3p1000_spi\hdl\UART_AD7606.v":150:0:150:5|Optimizing register bit data_count[2] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"D:\FPGA\a3p1000_spi\hdl\UART_AD7606.v":150:0:150:5|Pruning register bit 2 of data_count[2:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
